Year,Games,Teams,GP,TotalHRs
1962,162,20,3240,3001
1963,162,20,3240,2704
1964,162,20,3240,2762
1965,162,20,3240,2688
1966,162,20,3240,2743
1967,162,20,3240,2299
1968,162,20,3240,1995
1969,162,24,3888,3119
1970,162,24,3888,3429
1971,162,24,3888,2863
1972,162,24,3888,2534
1973,162,24,3888,3102
1974,162,24,3888,2649
1975,162,24,3888,2698
1976,162,24,3888,2235
1977,162,26,4212,3644
1978,162,26,4212,2956
1979,162,26,4212,3433
1980,162,26,4212,3087
1981,162,26,3501,1781
1982,162,26,4212,3379
1983,162,26,4212,3301
1984,162,26,4212,3258
1985,162,26,4212,3602
1986,162,26,4212,3813
1987,162,26,4212,4458
1988,162,26,4212,3180
1989,162,26,4212,3083
1990,162,26,4212,3317
1991,162,26,4212,3383
1992,162,26,4212,3038
1993,162,28,4536,4030
1994,162,28,4536,3306
1995,162,28,4536,4081
1996,162,28,4536,4962
1997,162,28,4536,4640
1998,162,30,4860,5064
1999,162,30,4860,5528
2000,162,30,4860,5693
2001,162,30,4860,5458
2002,162,30,4860,5059
2003,162,30,4860,5207
2004,162,30,4860,5451
2005,162,30,4860,5017
2006,162,30,4860,5386
2007,162,30,4860,4957
2008,162,30,4860,4878
2009,162,30,4860,5042
2010,162,30,4860,4613
2011,162,30,4860,4552
2012,162,30,4860,4934
2013,162,30,4860,4661
2014,162,30,4860,4186
2015,162,30,4860,4909
2016,162,30,4860,5610
2017,162,30,4860,6105
2018,124.4666667,30,3734,4292